Component,Origin,License,Copyright
dev,@eslint/js,MIT,Copyright OpenJS Foundation and other contributors
dev,@rollup/plugin-commonjs,MIT,Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)
dev,@rollup/plugin-node-resolve,MIT,Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)
dev,@rollup/plugin-typescript,MIT,Copyright (c) 2019 RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)
dev,eslint,MIT,Copyright OpenJS Foundation and other contributors
dev,eslint-config-prettier,MIT,Copyright (c) 2017-2023 Simon Lydell and contributors
dev,eslint-plugin-prettier,MIT,Copyright (c) 2017 Andres Suarez and Teddy Katz
dev,prettier,MIT,Copyright James Long and contributors
dev,rollup,MIT,Copyright (c) 2017 Rollup contributors (https://github.com/rollup/rollup/graphs/contributors)
dev,rollup-plugin-dts,LGPL-3.0-only,Copyright Arpad Borsos
dev,tslib,0BSD,Copyright Microsoft Corporation
dev,typescript,Apache-2.0,Copyright Microsoft Corporation
dev,typescript-eslint,MIT,Copyright (c) 2019 typescript-eslint and other contributors
